"articles/title","articles/body"
"Где купить Tangem Wallet?","<p>Вы можете заказать кошелек на официальном сайте <a class=""notion-link-token notion-enable-hover"" href=""http://tangem.com/"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""1""><span class=""link-annotation-unknown-block-id--907997389"">tangem.com</span></a> с доставкой в любую страну (кроме Беларуси и Украины).</p>
<p>В <a href=""https://www.amazon.de/s?me=A2RQARP5OUH0WE&amp;marketplaceID=A1PA6795UKMFR9"" target=""_self""><span class=""notion-enable-hover"" data-token-index=""3"">Германии, </span></a><a class=""notion-link-token notion-enable-hover"" href=""https://www.amazon.it/Tangem-Confezione-portafogli-hardware-multivaluta/dp/B09Q1HF6MD/ref=sr_1_3?m=A2RQARP5OUH0WE&amp;marketplaceID=APJ6JRA9NG5V4&amp;qid=1668083906&amp;s=merchant-items&amp;sr=1-3"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""7""><span class=""link-annotation-unknown-block-id-1904465418"">Италии</span></a>, <a class=""notion-link-token notion-enable-hover"" href=""https://www.amazon.es/s?me=A2RQARP5OUH0WE&amp;marketplaceID=A1RKKUPIHCS9HS"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""9""><span class=""link-annotation-unknown-block-id-80336247"">Испании</span></a>, <a class=""notion-link-token notion-enable-hover"" href=""https://www.amazon.nl/s?me=A2RQARP5OUH0WE&amp;marketplaceID=A1805IZSGTT6HS"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""11"">Нидерландах</a>, <a class=""notion-link-token notion-enable-hover"" href=""https://www.amazon.com/s?me=A197VOHMC5BCCA&amp;marketplaceID=ATVPDKIKX0DER"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""13""><span class=""link-annotation-unknown-block-id-886079178"">США</span></a>, <a class=""notion-link-token notion-enable-hover"" href=""https://www.amazon.com.mx/s?me=A197VOHMC5BCCA&amp;marketplaceID=A1AM78C64UM0Y8"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""15"">Мексике</a>, <a class=""notion-link-token notion-enable-hover"" href=""https://www.amazon.ca/s?me=A197VOHMC5BCCA&amp;marketplaceID=A2EUQ1WTGCTBG2"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""17""><span class=""link-annotation-unknown-block-id--371337401"">Канаде</span></a> и <a class=""notion-link-token notion-enable-hover"" href=""https://www.amazon.fr/s?me=A2RQARP5OUH0WE&amp;marketplaceID=A13V1IB3VIYZZH"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""21""><span class=""link-annotation-unknown-block-id--378317345"">Франции</span></a> можно также приобрести кошелек на <span class=""link-annotation-unknown-block-id--553673536"">Amazon.</span></p>
<p><span class=""notion-enable-hover"" data-token-index=""22"">В Австралии и Новой Зеландии также можно купить кошелек на <a class=""notion-link-token notion-enable-hover"" href=""https://www.hardwarewallets.com.au/buy-hardware-wallet/tangem-wallet/"" rel=""noopener noreferrer"" data-token-index=""3""><span class=""link-annotation-unknown-block-id-3432507"">hardwarewallets.com.au</span></a>.</span></p>
<p><span class=""notion-enable-hover"" data-token-index=""22"">В Тайване — на <a class=""notion-link-token notion-enable-hover"" href=""https://shopee.tw/%E3%80%90%E6%A2%AD%E5%93%88%E7%8C%BF%E4%BA%BA%E3%80%91Tangem-Pack-of-3-Card%E5%8A%A0%E5%AF%86%E8%B2%A8%E5%B9%A3-%E7%A1%AC%E9%AB%94%E9%8C%A2%E5%8C%85-%E5%86%B7%E9%8C%A2%E5%8C%85-%E6%AF%94%E7%89%B9%E5%B9%A3-%E4%BB%A5%E5%A4%AA%E5%9D%8A-BTC-ETH-NFT-i.404701686.19127805499?sp_atk=5419e22c-ef56-4443-9ade-00ec36e495ff&amp;xptdk=5419e22c-ef56-4443-9ade-00ec36e495ff"" rel=""noopener noreferrer"" data-token-index=""3""><span class=""link-annotation-unknown-block-id--1475835410"">Shopee</span></a><span class=""link-annotation-unknown-block-id--1475835410"">.</span></span></p>
<p>В <span class=""notion-enable-hover"" data-token-index=""1"">Армении </span>— на <a class=""notion-link-token notion-enable-hover"" href=""https://shop.ucom.am/am/tangem.html"" rel=""noopener noreferrer"" data-token-index=""3""><span class=""link-annotation-unknown-block-id-1270042034"">Ucom</span></a>.</p>
<p>В <span class=""notion-enable-hover"" data-token-index=""28"">Азербайджане</span> — на <a class=""notion-link-token notion-enable-hover"" href=""https://kontakt.az/ru?s=tangem"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""30""><span class=""link-annotation-unknown-block-id--65574309"">Kontact</span></a>.</p>
<p>В <span class=""notion-enable-hover"" data-token-index=""32"">России </span>— в <a class=""notion-link-token notion-enable-hover"" href=""https://www.technopark.ru/search/?q=tangem&amp;withContent=true&amp;strategy=vectors_extended,zero_queries"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""34""><span class=""link-annotation-unknown-block-id-1651105640"">Технопарке</span></a>, на <a class=""notion-link-token notion-enable-hover"" href=""https://www.ozon.ru/seller/tangem-233195/products/?miniapp=seller_233195"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""36""><span class=""link-annotation-unknown-block-id-1481410397"">Ozon</span></a>, <a class=""notion-link-token notion-enable-hover"" href=""https://www.wildberries.ru/brands/tangem"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""38""><span class=""link-annotation-unknown-block-id-154151151"">Wildberries</span></a>, <a class=""notion-link-token notion-enable-hover"" href=""https://www.mvideo.ru/gadzhety-64/smart-gadzhety-5607/f/brand=tangem/tolko-v-nalichii=da"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""40""><span class=""link-annotation-unknown-block-id-1114762604"">МВидео</span></a>, <a class=""notion-link-token notion-enable-hover"" href=""https://www.eldorado.ru/c/umnye-ustroystva/b/TANGEM/"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""42""><span class=""link-annotation-unknown-block-id--338373634"">Эльдорадо</span></a>, <a class=""notion-link-token notion-enable-hover"" href=""https://www.citilink.ru/catalog/kriptokoshelki/TANGEM/?text=tangem"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""44""><span class=""link-annotation-unknown-block-id-1797788071"">Ситилинк</span></a>, <a class=""notion-link-token notion-enable-hover"" href=""https://market.yandex.ru/catalog--usb-flesh-nakopiteli/26913370/list?srnum=9&amp;was_redir=1&amp;rt=9&amp;rs=eJwz4ghgrGLhaD4lCAALCwJw&amp;text=tangem&amp;hid=288003&amp;local-offers-first=0&amp;glfilter=7893318%3A36125691"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""46""><span class=""link-annotation-unknown-block-id-611223931"">Яндекс.Маркет</span></a>, <a class=""notion-link-token notion-enable-hover"" href=""https://sbermegamarket.ru/catalog/?q=tangem%20wallet"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""48""><span class=""link-annotation-unknown-block-id-396257936"">СберМегаМаркет</span></a> и <a class=""notion-link-token notion-enable-hover"" href=""https://www.dns-shop.ru/catalog/f27ae36cb68570c0/kriptokoshelki/?q=tangem&amp;stock=now-today-tomorrow-later-out_of_stock&amp;order=6"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""50""><span class=""link-annotation-unknown-block-id-1101860381"">DNS</span></a>.</p>
<p>В <span class=""notion-enable-hover"" data-token-index=""52"">Беларуси </span>кошелек доступен для заказа на <a class=""notion-link-token notion-enable-hover"" href=""https://www.ozon.ru/seller/tangem-233195/products/?miniapp=seller_233195"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""54""><span class=""link-annotation-unknown-block-id-1481410397"">Ozon</span></a>, <a class=""notion-link-token notion-enable-hover"" href=""https://www.wildberries.ru/brands/tangem"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""56""><span class=""link-annotation-unknown-block-id-154151151"">Wildberries</span></a> и в <a class=""notion-link-token notion-enable-hover"" href=""https://5element.by/search/?tab=product&amp;q=tangem"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""58""><span class=""link-annotation-unknown-block-id--296840783"">5 элементе</span></a>.</p>
<p>Доставка в <span class=""notion-enable-hover"" data-token-index=""60"">Украину</span> сейчас временно недоступна, мы в процессе поиска новых способов доставки в данный регион и обязательно сообщим в наших социальных сетях, когда доставка будет возобновлена.</p>"
"Есть ли доставка кошелька в мою страну?","<p>Вы можете заказать кошелек на официальном сайте <a class=""notion-link-token notion-enable-hover"" href=""http://tangem.com/"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""1""><span class=""link-annotation-unknown-block-id--907997389"">tangem.com</span></a> с доставкой в любую страну (кроме Беларуси и Украины).</p>"
"Какие доступны способы оплаты?","<p>Сейчас заказ можно оплатить только через PayPal, но мы работаем над добавлением других способов оплаты.<br>При заказе Tangem Wallet с доставкой по России доступна оплата банковской картой Visa, Mastercard, МИР, UnionPay, а также Qiwi.</p>"
"Существует ли минимальная стоимость заказа?","<p>Нет, вы можете оформить заказ на любую сумму в зависимости от стоимости выбранного товара на нашем сайте.</p>"
"Какая стоимость доставки?","<p>Стоимость доставки по всему миру (кроме России) составляет $5,99. По России включена бесплатная доставка.</p>"
"Нужно ли мне платить таможенные пошлины?","<p>В зависимости от страны получения заказ может облагаться таможенной пошлиной. Экспортные затраты покрываются Tangem самостоятельно, а импортные затраты покрываются уже самим пользователем. Все сборы, взимаемые во время или после доставки, оплачиваются клиентом.</p>"
"Где купить Tangem Note?","<p>Кошелек Tangem Note продается эксклюзивно в локальных магазинах.</p>
<p>В <span class=""notion-enable-hover"" data-token-index=""1"">Германии</span> можно приобрести кошелек на <a class=""notion-link-token notion-enable-hover"" href=""https://www.amazon.de/s?me=A2RQARP5OUH0WE&amp;marketplaceID=A1PA6795UKMFR9"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""3""><span class=""link-annotation-unknown-block-id--553673536"">Amazon </span></a>и в следующих офлайн-магазинах:</p>
<p>1. Mix Markt, Leipziger Strasse 1, 63179 Obertshausen.</p>
<p>2. Mix Markt, Richard-Wagner-Strasse 32, Offenbach am Main 63069.</p>
<p>3. Кристалл, Düpheid 36, Hamburg, Deutschland.</p>
<p>4. Радуга, Maimoorweg 68, 22179 Hamburg, Deutschland.</p>
<p>5. Mix Markt, Berliner Freiheit 9b, 28327 Bremen-Vahr Bremen.</p>
<p>6. Mini-Markt, Am Neugrabener Bahnhof 34, 21149 Hamburg.</p>
<p>7. Rehna-Markt, Reuterstr. 41a, 25436 Uetersen bie Hamburg, Deutschland.</p>
<p>8. Mix Markt, Friedrich-Frank-Bogen 81, 21033 Hamburg-Bergedorf , Deutschland.</p>
<p>9. GeoVino, Hoheluftchaussee 53, 20253 Hamburg, Deutschland.</p>
<p>10. Intermarket Юбилейный, Möllendorffstr. 47 — 48, 10367 Berlin Berlin (Lichtenberg).</p>
<p> </p>
<p>На Amazon также доступен заказ Tangem Note в <a class=""notion-link-token notion-enable-hover"" href=""https://www.amazon.it/Tangem-Confezione-portafogli-hardware-multivaluta/dp/B09Q1HF6MD/ref=sr_1_3?m=A2RQARP5OUH0WE&amp;marketplaceID=APJ6JRA9NG5V4&amp;qid=1668083906&amp;s=merchant-items&amp;sr=1-3"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""5""><span class=""link-annotation-unknown-block-id-1904465418"">Италию</span></a><span class=""notion-enable-hover"" data-token-index=""6"">, </span><a class=""notion-link-token notion-enable-hover"" href=""https://www.amazon.es/s?me=A2RQARP5OUH0WE&amp;marketplaceID=A1RKKUPIHCS9HS"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""7""><span class=""link-annotation-unknown-block-id-80336247"">Испанию</span></a><span class=""notion-enable-hover"" data-token-index=""8"">, </span><a class=""notion-link-token notion-enable-hover"" href=""https://www.amazon.nl/s?me=A2RQARP5OUH0WE&amp;marketplaceID=A1805IZSGTT6HS"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""9""><span class=""link-annotation-unknown-block-id-2053174526"">Нидерланды</span></a><span class=""notion-enable-hover"" data-token-index=""10"">, </span><a class=""notion-link-token notion-enable-hover"" href=""https://www.amazon.com/s?me=A197VOHMC5BCCA&amp;marketplaceID=ATVPDKIKX0DER"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""11""><span class=""link-annotation-unknown-block-id-886079178"">США</span></a><span class=""notion-enable-hover"" data-token-index=""12"">, </span><a class=""notion-link-token notion-enable-hover"" href=""https://www.amazon.com.mx/s?me=A197VOHMC5BCCA&amp;marketplaceID=A1AM78C64UM0Y8"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""13""><span class=""link-annotation-unknown-block-id-349739469"">Мексику</span></a><span class=""notion-enable-hover"" data-token-index=""14"">, </span><a class=""notion-link-token notion-enable-hover"" href=""https://www.amazon.ca/s?me=A197VOHMC5BCCA&amp;marketplaceID=A2EUQ1WTGCTBG2"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""15""><span class=""link-annotation-unknown-block-id--371337401"">Канаду</span></a> и <a class=""notion-link-token notion-enable-hover"" href=""https://www.amazon.fr/s?me=A2RQARP5OUH0WE&amp;marketplaceID=A13V1IB3VIYZZH"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""19""><span class=""link-annotation-unknown-block-id--378317345"">Францию</span></a><span class=""notion-enable-hover"" data-token-index=""20"">.</span></p>
<p>В <span class=""notion-enable-hover"" data-token-index=""22"">Армении </span>можно купить кошелек на <a class=""notion-link-token notion-enable-hover"" href=""https://shop.ucom.am/am/tangem.html"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""24""><span class=""link-annotation-unknown-block-id-1270042034"">Ucom</span></a>.</p>
<p>В <span class=""notion-enable-hover"" data-token-index=""26"">Азербайджане</span> — на <a class=""notion-link-token notion-enable-hover"" href=""https://kontakt.az/ru?s=tangem"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""28""><span class=""link-annotation-unknown-block-id--65574309"">Kontact</span></a>.</p>
<p>В <span class=""notion-enable-hover"" data-token-index=""30"">России </span>— в <a class=""notion-link-token notion-enable-hover"" href=""https://www.technopark.ru/search/?q=tangem&amp;withContent=true&amp;strategy=vectors_extended,zero_queries"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""32""><span class=""link-annotation-unknown-block-id-1651105640"">Технопарке</span></a>, на <a class=""notion-link-token notion-enable-hover"" href=""https://www.ozon.ru/seller/tangem-233195/products/?miniapp=seller_233195"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""34""><span class=""link-annotation-unknown-block-id-1481410397"">Ozon</span></a>, <a class=""notion-link-token notion-enable-hover"" href=""https://www.wildberries.ru/brands/tangem"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""36""><span class=""link-annotation-unknown-block-id-154151151"">Wildberries</span></a>, <a class=""notion-link-token notion-enable-hover"" href=""https://www.mvideo.ru/gadzhety-64/smart-gadzhety-5607/f/brand=tangem/tolko-v-nalichii=da"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""38""><span class=""link-annotation-unknown-block-id-1114762604"">МВидео</span></a>, <a class=""notion-link-token notion-enable-hover"" href=""https://www.eldorado.ru/c/umnye-ustroystva/b/TANGEM/"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""40""><span class=""link-annotation-unknown-block-id--338373634"">Эльдорадо</span></a>, <a class=""notion-link-token notion-enable-hover"" href=""https://www.citilink.ru/catalog/kriptokoshelki/TANGEM/?text=tangem"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""42""><span class=""link-annotation-unknown-block-id-1797788071"">Ситилинк</span></a>, <a class=""notion-link-token notion-enable-hover"" href=""https://market.yandex.ru/catalog--usb-flesh-nakopiteli/26913370/list?srnum=9&amp;was_redir=1&amp;rt=9&amp;rs=eJwz4ghgrGLhaD4lCAALCwJw&amp;text=tangem&amp;hid=288003&amp;local-offers-first=0&amp;glfilter=7893318%3A36125691"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""44""><span class=""link-annotation-unknown-block-id-611223931"">Яндекс.Маркет</span></a>, <a class=""notion-link-token notion-enable-hover"" href=""https://sbermegamarket.ru/catalog/?q=tangem%20wallet"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""46""><span class=""link-annotation-unknown-block-id-396257936"">СберМегаМаркет</span></a> и <a class=""notion-link-token notion-enable-hover"" href=""https://www.dns-shop.ru/catalog/f27ae36cb68570c0/kriptokoshelki/?q=tangem&amp;stock=now-today-tomorrow-later-out_of_stock&amp;order=6"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""48""><span class=""link-annotation-unknown-block-id-1101860381"">DNS</span></a>.</p>
<p>В <span class=""notion-enable-hover"" data-token-index=""50"">Беларуси </span>кошелек доступен для заказа на <a class=""notion-link-token notion-enable-hover"" href=""https://www.ozon.ru/seller/tangem-233195/products/?miniapp=seller_233195"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""52""><span class=""link-annotation-unknown-block-id-1481410397"">Ozon</span></a>, <a class=""notion-link-token notion-enable-hover"" href=""https://www.wildberries.ru/brands/tangem"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""54""><span class=""link-annotation-unknown-block-id-154151151"">Wildberries</span></a> и в <a class=""notion-link-token notion-enable-hover"" href=""https://5element.by/search/?tab=product&amp;q=tangem"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""56""><span class=""link-annotation-unknown-block-id--296840783"">5 элементе</span></a>.</p>"
"Можно ли заказать кошелек в Украину? Когда будет доступна доставка в Украину?","<p>К сожалению, доставка в Украину сейчас временно недоступна, мы в процессе поиска новых способов доставки в данный регион и обязательно сообщим в нашем <a class=""notion-link-token notion-enable-hover"" href=""https://t.me/tangem_russia"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""1""><span class=""link-annotation-unknown-block-id--883883874"">Telegram-канале</span></a>, когда доставка будет возобновлена.</p>"
"Где купить кошелек в России?","<p>Вы можете заказать кошелек на официальном сайте <a class=""notion-link-token notion-enable-hover"" href=""http://tangem.com/"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""1""><span class=""link-annotation-unknown-block-id--907997389"">tangem.com</span></a> с доставкой в Россию, а также приобрести в локальных федеральных сетях и на маркетплейсах: в <a class=""notion-link-token notion-enable-hover"" href=""https://www.technopark.ru/search/?q=tangem&amp;withContent=true&amp;strategy=vectors_extended,zero_queries"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""3""><span class=""link-annotation-unknown-block-id-1651105640"">Технопарке</span></a>, на <a class=""notion-link-token notion-enable-hover"" href=""https://www.ozon.ru/seller/tangem-233195/products/?miniapp=seller_233195"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""5""><span class=""link-annotation-unknown-block-id-1481410397"">Ozon</span></a>, <a class=""notion-link-token notion-enable-hover"" href=""https://www.wildberries.ru/brands/tangem"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""7""><span class=""link-annotation-unknown-block-id-154151151"">Wildberries</span></a>, <a class=""notion-link-token notion-enable-hover"" href=""https://www.mvideo.ru/gadzhety-64/smart-gadzhety-5607/f/brand=tangem/tolko-v-nalichii=da"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""9""><span class=""link-annotation-unknown-block-id-1114762604"">МВидео</span></a>, <a class=""notion-link-token notion-enable-hover"" href=""https://www.eldorado.ru/c/umnye-ustroystva/b/TANGEM/"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""11""><span class=""link-annotation-unknown-block-id--338373634"">Эльдорадо</span></a>, <a class=""notion-link-token notion-enable-hover"" href=""https://www.citilink.ru/catalog/kriptokoshelki/TANGEM/?text=tangem"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""13""><span class=""link-annotation-unknown-block-id-1797788071"">Ситилинк</span></a>, <a class=""notion-link-token notion-enable-hover"" href=""https://market.yandex.ru/catalog--usb-flesh-nakopiteli/26913370/list?srnum=9&amp;was_redir=1&amp;rt=9&amp;rs=eJwz4ghgrGLhaD4lCAALCwJw&amp;text=tangem&amp;hid=288003&amp;local-offers-first=0&amp;glfilter=7893318%3A36125691"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""15""><span class=""link-annotation-unknown-block-id-611223931"">Яндекс.Маркет</span></a>, <a class=""notion-link-token notion-enable-hover"" href=""https://sbermegamarket.ru/catalog/?q=tangem%20wallet"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""17""><span class=""link-annotation-unknown-block-id-396257936"">СберМегаМаркет</span></a> и <a class=""notion-link-token notion-enable-hover"" href=""https://www.dns-shop.ru/catalog/f27ae36cb68570c0/kriptokoshelki/?q=tangem&amp;stock=now-today-tomorrow-later-out_of_stock&amp;order=6"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""19""><span class=""link-annotation-unknown-block-id-1101860381"">DNS</span></a>.</p>"
"Можно ли купить кошелек в Европе? Есть ли список магазинов?","<p>В Европе вы можете оформить заказ с официального сайта <a class=""notion-link-token notion-enable-hover"" href=""http://tangem.com/"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""1""><span class=""link-annotation-unknown-block-id-1916852060"">tangem.com</span></a>, а также приобрести кошелек в следующих магазинах Германии:</p>
<p>1. Mix Markt, Leipziger Strasse 1, 63179 Obertshausen.</p>
<p>2. Mix Markt, Richard-Wagner-Strasse 32, Offenbach am Main 63069.</p>
<p>3. Кристалл, Düpheid 36, Hamburg, Deutschland.</p>
<p>4. Радуга, Maimoorweg 68, 22179 Hamburg, Deutschland.</p>
<p>5. Mix Markt, Berliner Freiheit 9b, 28327 Bremen-Vahr Bremen.</p>
<p>6. Mini-Markt, Am Neugrabener Bahnhof 34, 21149 Hamburg.</p>
<p>7. Rehna-Markt, Reuterstr. 41a, 25436 Uetersen bie Hamburg, Deutschland.</p>
<p>8. Mix Markt, Friedrich-Frank-Bogen 81, 21033 Hamburg-Bergedorf , Deutschland.</p>
<p>9. GeoVino, Hoheluftchaussee 53, 20253 Hamburg, Deutschland.</p>
<p>10. Intermarket Юбилейный, Möllendorffstr. 47 — 48, 10367 Berlin Berlin (Lichtenberg).</p>
<p>На Amazon также доступен заказ карт Tangem в <a class=""notion-link-token notion-enable-hover"" href=""https://www.amazon.it/Tangem-Confezione-portafogli-hardware-multivaluta/dp/B09Q1HF6MD/ref=sr_1_3?m=A2RQARP5OUH0WE&amp;marketplaceID=APJ6JRA9NG5V4&amp;qid=1668083906&amp;s=merchant-items&amp;sr=1-3"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""3""><span class=""link-annotation-unknown-block-id-1904465418"">Италию</span></a><span class=""notion-enable-hover"" data-token-index=""4"">, </span><a class=""notion-link-token notion-enable-hover"" href=""https://www.amazon.es/s?me=A2RQARP5OUH0WE&amp;marketplaceID=A1RKKUPIHCS9HS"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""5""><span class=""link-annotation-unknown-block-id-80336247"">Испанию</span></a><span class=""notion-enable-hover"" data-token-index=""6"">, </span><a class=""notion-link-token notion-enable-hover"" href=""https://www.amazon.nl/s?me=A2RQARP5OUH0WE&amp;marketplaceID=A1805IZSGTT6HS"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""7""><span class=""link-annotation-unknown-block-id-2053174526"">Нидерланды</span></a> и <a class=""notion-link-token notion-enable-hover"" href=""https://www.amazon.fr/s?me=A2RQARP5OUH0WE&amp;marketplaceID=A13V1IB3VIYZZH"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""10""><span class=""link-annotation-unknown-block-id--378317345"">Францию</span></a><span class=""notion-enable-hover"" data-token-index=""11"">.</span></p>"
"Насколько безопасно покупать кошелек на Ozon, Wildberries и др. маркетплейсах?","<p>Карту нельзя модифицировать ни с точки зрения программного обеспечения, ни физически, так как внутри карты монолитный чип.</p>
<p>Официальное приложение может безошибочно проверить:</p>
<p>— что карта была действительно произведена компанией Tangem;</p>
<p>— что карта прошита программным обеспечением компании Tangem.</p>
<p>Благодаря end-to-end аттестации полностью безопасно покупать даже в переходе. Главное, обратите внимание, что:</p>
<p>1. Вы установили официальное приложение Tangem.</p>
<p>2. Карты должны предложить вам создать кошелёк. Если нет — сбросьте карты к заводским настройкам.</p>"
"Можно ли купить одну карту Tangem Wallet?","<p>Нет, Tangem Wallet продается только в комплекте из 2 либо 3 карт. Дополнительные карты нужны для создания бэкапа (резервного копирования). Так, в случае утери или кражи одной из карт, резервные карты помогут восстановить доступ к кошельку, а код доступа — предотвратить перевод ваших средств злоумышленником.</p>"
"Можно ли приобрести карты Tangem с индивидуальным дизайном?","<p>Мы производим карты индивидуального дизайна при оптовых заказах. Если вы хотите заказать карты с индивидуальным дизайном, свяжитесь с нами, пожалуйста, по почте <a class=""notion-link-token notion-enable-hover"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""1""><span class=""link-annotation-unknown-block-id-346920797"">sales@tangem.com</span></a>.</p>"
"Как я могу получить скидку при покупке продукта?","<p>В настоящее время мы не проводим никаких рекламных кампаний. Мы всегда объявляем о них в наших социальных сетях: <a class=""notion-link-token notion-enable-hover"" href=""https://t.me/tangem_russia"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""1""><span class=""link-annotation-unknown-block-id--883883874"">Telegram</span></a>, <a class=""notion-link-token notion-enable-hover"" href=""https://www.instagram.com/tangemrussia/"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""3""><span class=""link-annotation-unknown-block-id--1564805194"">Instagram</span></a>. Подписывайтесь, чтобы всегда быть в курсе свежих новостей!</p>"
"Могу ли я оформить заказ на юридическое лицо?","<p>В качестве получателя обязательно должно выступать физическое лицо. Для этого при оформлении заказа необходимо указывать фамилию, имя, электронную почту и номер телефона человека, для которого предназначен заказ.</p>"
"Сколько времени занимает доставка? Как я могу отследить заказ?","<p><span class=""notion-enable-hover"" data-token-index=""2"">Средние сроки доставки в Россию — от 2 до 17 рабочих дней, в остальные страны — от 5 до 20 рабочих дней с момента получения заказа курьером. После оформления заказа и передачи его в курьерскую службу, на вашу почту поступит трек-номер, по которому вы можете: </span></p>
<p><span class=""notion-enable-hover"" data-token-index=""2"">1. Отслеживать посылку. </span></p>
<p><span class=""notion-enable-hover"" data-token-index=""2"">2. Видеть ориентировочную дату доставки. </span></p>
<p><span class=""notion-enable-hover"" data-token-index=""2"">3. Получить альтернативный номер для отслеживания заказа. Как только посылка окажется на территории страны назначения, вы сможете отследить её местонахождение на сайте местной компании-перевозчика. </span></p>
<p><span class=""notion-enable-hover"" data-token-index=""2"">При необходимости обратитесь в службу поддержки Tangem, обязательно указав в обращении номер вашего заказа. Сразу после получения информации мы свяжемся с компанией-перевозчиком. </span></p>"
"Почему я до сих пор не получил трекинг по заказу?","<p>Как только заказ будет обработан и покинет склад, на вашу электронную почту поступит трек-номер для отслеживания заказа.</p>
<p>Если вы по какой-то причине не получили данное письмо, просим связаться с нами по электронной почте <a class=""notion-link-token notion-enable-hover"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""1""><span class=""link-annotation-unknown-block-id-377495656"">store@tangem.com</span></a>.</p>
<p>Все заказы с доставкой по России, оформленные до 12:00 по московскому времени, отправляются в этот же день; после 12:00 — на следующий день. Заказы, оформленные после 12:00 в пятницу и на выходных, отгружаются в понедельник. После того, как заказ будет обработан и передан в курьерскую службу, на вашу почту поступит письмо от СДЭК со ссылкой для отслеживания заказа.</p>"
"Почему не обновляется трекинг по доставке кошелька?","<p>Если посылка находится в международном транзите до страны назначения, то в обновлении трекинга могут быть задержки. Трекинг обновится, как только самолет с посылкой приземлится для перегрузки или в страну назначения.</p>"
